case_id,title,domain,osi_layer,severity,symptom,topology_note,expected_fault,concept_tag,rule_engine_flag,ground_truth_next_command,ground_truth_fix,show_outputs_summary
NET-001,Inter-VLAN Routing Failure on Router-on-a-Stick,VLAN / Inter-VLAN Routing,Layer 3 (Network),High,PC1 in VLAN 10 (192.168.10.50) can ping its default gateway (192.168.10.1) but cannot reach Server1 in VLAN 20 (192.168.20.100).,Topology: 2960 Switch connected via 802.1Q trunk (G0/1) to Router 4331 (G0/0/0). Subinterfaces G0/0/0.10 and G0/0/0.20 configured for VLAN routing.,"Subinterface G0/0/0.20 is missing the 802.1Q tag encapsulation command ('encapsulation dot1Q 20'), preventing it from processing tagged frames from VLAN 20.",Inter-VLAN Routing / 802.1Q Subinterfaces,VLAN_TRUNK_MISMATCH,show running-config interface GigabitEthernet0/0/0.20,"interface GigabitEthernet0/0/0.20
 encapsulation dot1Q 20
 ip address 192.168.20.1 255.255.255.0
 no shutdown",show ip interface brief: Router# show ip interface brief Interface              IP-Address      OK? Method Status                Protocol GigabitEthernet0/0/0   unassigned      YES unset  up                    up GigabitEthernet0/0/0.10 192.168.10.1 ...
NET-002,Default Gateway Subnet Mismatch on Static Host,Gateway / IP Addressing,Layer 3 (Network),Medium,"Finance PC (192.168.1.15) can ping other local PCs in the 192.168.1.0/24 subnet, but cannot access external cloud services or ping the core router.",Host PC connected to Switch SW1 access port VLAN 10. Gateway router interface G0/0 is configured with IP 192.168.1.1/24.,"Finance-PC has an incorrect default gateway configured (192.168.2.1 instead of 192.168.1.1), which belongs to a different subnet and is unroutable locally.",Default Gateway Configuration,SUBNET_MASK_MISMATCH,ipconfig on client; verify router interface IP,Configure Finance-PC Default Gateway to 192.168.1.1.,ipconfig /all (Finance-PC): C:\> ipconfig /all FastEthernet0 Connection:    IP Address......................: 192.168.1.15    Subnet Mask.....................: 255.255.255.0    Default Gateway.................: 192.168.2.1    DNS Servers................
NET-003,Missing IP Helper-Address for Remote DHCP Server,DHCP,Layer 3 (Network),High,Marketing PCs in VLAN 30 receive APIPA 169.254.x.x addresses upon boot. The centralized DHCP Server is located in VLAN 10 (192.168.10.100).,DHCP server in Server Farm (VLAN 10). Clients in VLAN 30 (192.168.30.0/24). Core Router performs inter-VLAN routing.,"Router interface G0/0.30 is missing 'ip helper-address 192.168.10.100', so DHCP Discover broadcast packets from VLAN 30 are not forwarded across the router to the DHCP server.",DHCP Relay / IP Helper Address,DHCP_POOL_AND_RELAY,show running-config interface GigabitEthernet0/0.30,"interface GigabitEthernet0/0.30
 ip helper-address 192.168.10.100",show running-config interface g0/0.30: Router# show running-config interface GigabitEthernet0/0.30 interface GigabitEthernet0/0.30  encapsulation dot1Q 30  ip address 192.168.30.1 255.255.255.0 ! | show ip dhcp binding (DHCP-Server): DHCP-Server# sho...
NET-004,Native VLAN Mismatch on Trunk Link,VLAN / Trunking,Layer 2 (Data Link),Medium,Console displays continuous '%CDP-4-NATIVE_VLAN_MISMATCH' errors between SW1 and SW2. Traffic on untagged frames is leaking between management and data VLANs.,SW1 port Gig0/1 connected directly to SW2 port Gig0/1 via crossover trunk cable.,"Native VLAN is configured as VLAN 10 on SW1 (G0/1) but defaults to VLAN 1 on SW2 (G0/1), causing native VLAN mismatch and spanning-tree blocking.",802.1Q Native VLAN Alignment,VLAN_TRUNK_MISMATCH,show interfaces trunk on both switches,"SW2(config)# interface GigabitEthernet0/1
SW2(config-if)# switchport trunk native vlan 10",show interfaces trunk (SW1): SW1# show interfaces trunk Port        Mode             Encapsulation  Status        Native vlan Gig0/1      on               802.1q         trunking      10  Port        Vlans allowed on trunk Gig0/1      1-4094 | show i...
NET-005,Extended ACL Blocking DNS UDP Port 53,ACL / Security,Layer 4 (Transport),High,"Internal workstations can ping external websites by public IP (8.8.8.8, 1.1.1.1) but cannot browse websites by domain name (e.g., cisco.com fails to resolve).",Gateway Router R1 has an inbound ACL applied on interface G0/0 facing the internal LAN.,"Access list 101 permits HTTP (80), HTTPS (443), and ICMP, but lacks a permit statement for UDP port 53 (DNS), causing all DNS queries to hit the implicit deny at line 40.",Extended ACL / DNS Port 53,ACL_IMPLICIT_DENY,show access-lists 101,"ip access-list extended 101
 25 permit udp 192.168.1.0 0.0.0.255 any eq domain
 26 permit tcp 192.168.1.0 0.0.0.255 any eq domain",show access-lists: R1# show access-lists Extended IP access list 101     10 permit tcp 192.168.1.0 0.0.0.255 any eq www (45 matches)     20 permit tcp 192.168.1.0 0.0.0.255 any eq 443 (182 matches)     30 permit icmp 192.168.1.0 0.0.0.255 any (12 mat...
NET-006,Missing VLAN in Switch Trunk Allowed List,VLAN / Trunking,Layer 2 (Data Link),Medium,"Users on Engineering Switch 2 assigned to VLAN 50 cannot communicate with the Engineering server on Core Switch 1, while VLAN 10 and VLAN 20 traffic flows normally.",SW1 and SW2 connected via trunk port G0/24.,"Trunk port G0/24 on SW1 is explicitly filtered with 'switchport trunk allowed vlan 10,20', pruning VLAN 50 from passing over the trunk link.",Trunk Allowed VLAN List,VLAN_TRUNK_MISMATCH,show interfaces trunk,"SW1(config)# interface GigabitEthernet0/24
SW1(config-if)# switchport trunk allowed vlan add 50",show interfaces g0/24 trunk (SW1): SW1# show interfaces GigabitEthernet0/24 trunk Port        Mode             Encapsulation  Status        Native vlan Gig0/24     on               802.1q         trunking      1  Port        Vlans allowed on trunk Gi...
NET-007,OSPF Area ID Mismatch Preventing Neighbor Adjacency,OSPF Routing,Layer 3 (Network),Critical,Branch Router R2 cannot route packets to Headquarters. 'show ip ospf neighbor' on R1 and R2 returns completely empty.,R1 (HQ) and R2 (Branch) connected point-to-point via subnet 10.0.0.0/30 on interface G0/0/1.,"Area ID mismatch on the transit link 10.0.0.0/30: R1 has G0/0/1 configured in OSPF Area 0, while R2 has G0/0/1 configured in OSPF Area 1.",OSPF Area Configuration & Adjacency,OSPF_NEIGHBOR_ADJACENCY,show ip ospf interface,"R2(config)# router ospf 1
R2(config-router)# no network 10.0.0.0 0.0.0.3 area 1
R2(config-router)# network 10.0.0.0 0.0.0.3 area 0",show ip ospf neighbor (R1): R1# show ip ospf neighbor R1#  | show running-config | section ospf (R1): R1# show running-config | section ospf router ospf 1  router-id 1.1.1.1  network 10.0.0.0 0.0.0.3 area 0  network 192.168.1.0 0.0.0.255 area 0 | sho...
NET-008,NAT Overload (PAT) Keyword Omission,NAT / PAT,Layer 3 (Network),High,"The first host on the internal LAN can browse the Internet successfully, but all subsequent hosts fail to establish any outbound connection.",Gateway Router NATing private 192.168.1.0/24 subnet to public outside interface G0/1 (203.0.113.2).,"The NAT configuration command 'ip nat inside source list 1 interface GigabitEthernet0/1' is missing the 'overload' keyword, restricting translation to 1-to-1 static mapping.",NAT Overload (PAT),NAT_INSIDE_OUTSIDE,show ip nat statistics; show running-config | include ip nat,"Router(config)# no ip nat inside source list 1 interface GigabitEthernet0/1
Router(config)# ip nat inside source list 1 interface GigabitEthernet0/1 overload",show ip nat translations: Router# show ip nat translations Pro Inside global      Inside local       Outside local      Outside global --- 203.0.113.2        192.168.1.10       ---                --- | show running-config | include ip nat: Router# sh...
NET-009,Static Route Next-Hop Unreachable / Wrong Subnet,Static Routing,Layer 3 (Network),High,Router R1 cannot route traffic to remote subnet 172.16.0.0/16. 'show ip route' does not show the static route in the routing table.,"R1 connected to R2 via link 10.1.1.0/30 (R1 G0/0/0 = 10.1.1.1, R2 G0/0/0 = 10.1.1.2).","Static route specifies an unreachable next-hop IP (10.1.2.2 instead of 10.1.1.2), which is not in the directly connected subnet, so Cisco IOS ignores the route.",Static Route Next-Hop Resolution,DEFAULT_GATEWAY_MISSING,show ip route; show running-config | include ip route,"R1(config)# no ip route 172.16.0.0 255.255.0.0 10.1.2.2
R1(config)# ip route 172.16.0.0 255.255.0.0 10.1.1.2","show running-config | include ip route: R1# show running-config | include ip route ip route 172.16.0.0 255.255.0.0 10.1.2.2 | show ip route: R1# show ip route Gateway of last resort is not set       10.0.0.0/8 is variably subnetted, 2 subnets, 2 mask..."
NET-010,Switchport Administratively Down Connecting Core Server,Physical / Data Link,Layer 1 (Physical),Critical,Database Server is completely unreachable from all network segments. Port link LED is amber/off on the switch.,Database Server connected to Switch SW-CORE FastEthernet0/10 in VLAN 100.,Switchport FastEthernet0/10 is in an administratively down shutdown state.,Interface Admin State,ADMIN_DOWN_CHECK,show interfaces FastEthernet0/10,"SW-CORE(config)# interface FastEthernet0/10
SW-CORE(config-if)# no shutdown",show interfaces FastEthernet0/10 status: SW-CORE# show interfaces FastEthernet0/10 status Port      Name               Status       Vlan       Duplex  Speed Type Fa0/10    DB-Server-Primary  disabled     100          auto   auto 10/100BaseTX | show i...
NET-011,Guest Wi-Fi Security Isolation Failure,Wireless / Security,Layer 3 (Network),Critical,Contractor connecting to 'Company-Guest' SSID is able to ping and access internal corporate Payroll server (10.0.10.50).,WLC / AP broadcasting SSID 'Company-Guest'. Guest traffic should be isolated in VLAN 50 with ACL denying internal subnets (10.0.0.0/8).,The 'Guest-Access' WLAN profile on the WLC is mapped to the internal corporate interface 'vlan-10-corp' instead of the isolated 'vlan-50-guest' interface.,Wireless Guest Isolation & VLAN Mapping,VLAN_TRUNK_MISMATCH,show wlan 2,WLC(config)# config wlan interface 2 vlan-50-guest,show wlan summary: WLC# show wlan summary WLAN ID  WLAN Profile Name    SSID                Status   Interface Name 1        Corp-Internal        Corp-Secure         Enabled  vlan-10-corp 2        Guest-Access         Company-Guest       Enabled  vla...
NET-012,Speed / Duplex Mismatch Causing Packet Collisions,Data Link / Physical,Layer 2 (Data Link),Medium,"File transfers to Backup Server are extremely slow, timing out intermittently with heavy packet loss under load.",Server NIC connected to Switch SW1 port FastEthernet0/5.,"Switchport Fa0/5 is hardcoded to 'duplex half' while the server NIC is operating at full duplex, causing late collisions and severe throughput degradation.",Duplex Mismatch & Late Collisions,SPEED_DUPLEX_MISMATCH,show interfaces FastEthernet0/5,"SW1(config)# interface FastEthernet0/5
SW1(config-if)# duplex full
SW1(config-if)# speed auto","show interfaces FastEthernet0/5: SW1# show interfaces FastEthernet0/5 FastEthernet0/5 is up, line protocol is up (connected)   Hardware is Fast Ethernet, address is 0014.a821.5b05   Half-duplex, 100Mb/s, media type is 100BaseTX   Input flow-control i..."
NET-013,Port Security Err-Disable Due to MAC Address Violation,Port Security,Layer 2 (Data Link),High,User plugged a new laptop into cubicle wall jack F0/2; the port immediately turned off and the link status shows 'err-disabled'.,Access switch 2960 with port-security enabled on access ports.,Port security maximum MAC address count is 1 with sticky MAC '0011.2233.4455'. New device with MAC '0050.7966.6802' triggered a shutdown violation.,Port Security / Err-Disable Recovery,PORT_SECURITY_ERRDISABLE,show port-security interface FastEthernet0/2,"SW-ACCESS(config)# interface FastEthernet0/2
SW-ACCESS(config-if)# no switchport port-security mac-address sticky 0011.2233.4455
SW-ACCESS(config-if)# shutdown
SW-ACCESS(config-if)# no shutdown",show interfaces FastEthernet0/2 status: SW-ACCESS# show interfaces FastEthernet0/2 status Port      Name               Status       Vlan       Duplex  Speed Type Fa0/2     Cubicle-14         err-disabled 10           auto   auto 10/100BaseTX | show p...
NET-014,DHCP Scope Exhaustion on Small Subnet Pool,DHCP,Layer 3 (Network),Medium,"New workstations connecting to VLAN 40 fail to receive an IP address, while existing workstations retain connectivity.",Cisco 2911 Router serving as local DHCP server for VLAN 40 subnet 192.168.40.0/28 (only 14 usable IPs).,The DHCP pool 'POOL_VLAN40' has exhausted all 14 available host addresses in the /28 subnet with infinite lease times.,DHCP Pool Sizing & Subnet Mask Expansion,DHCP_POOL_AND_RELAY,show ip dhcp pool POOL_VLAN40,"Router(config)# ip dhcp pool POOL_VLAN40
Router(config-dhcp)# network 192.168.40.0 255.255.255.0
Router(config-dhcp)# lease 0 8 0",show ip dhcp pool: Router# show ip dhcp pool Pool POOL_VLAN40 :  Total addresses       : 14  Leased addresses      : 14  Excluded addresses    : 0  Pending event         : none  1 subnet is currently in the pool  Current index        IP pool range   ...
NET-015,OSPF Passive-Interface Default Suppressing Transit Link,OSPF Routing,Layer 3 (Network),High,OSPF neighbor relationship between R1 and R2 fails to form on link G0/0/0 after a security baseline was applied.,R1 connected to R2 on GigabitEthernet0/0/0 (10.0.12.0/30).,"The command 'passive-interface default' suppressed OSPF Hello packets on all interfaces, including transit interface GigabitEthernet0/0/0, without an explicit 'no passive-interface GigabitEthernet0/0/0'.",OSPF Passive Interface Default,OSPF_NEIGHBOR_ADJACENCY,show ip ospf interface GigabitEthernet0/0/0,"R1(config)# router ospf 1
R1(config-router)# no passive-interface GigabitEthernet0/0/0",show ip ospf interface brief (R1): R1# show ip ospf interface brief Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C Gi0/0/0      1     0               10.0.12.1/30       1     PASS  0/0 Gi0/0/1      1     0               19...
NET-016,Duplicate IP Address Conflict Causing ARP Flapping,IP Addressing / ARP,Layer 3 (Network),High,Management server at 192.168.1.50 experiences intermittent ping responses (50% drop rate) and SSH sessions disconnect immediately.,Two devices on LAN VLAN 10 configured with the same IP address 192.168.1.50.,"Duplicate IP address conflict: Fa0/12 (MAC 0014.a821.1111) and Fa0/18 (MAC 0050.7966.2222) are both claiming 192.168.1.50, poisoning the switch ARP cache.",Duplicate IP / ARP Cache Flapping,DUPLICATE_IP_CONFLICT,show ip arp; show mac address-table,Change the IP on device connected to Fa0/18 to an unassigned IP (e.g. 192.168.1.51) and clear arp-cache.,show ip arp (Switch): SW1# show ip arp | include 192.168.1.50 Internet  192.168.1.50            0   0014.a821.1111  ARPA   Vlan10 (10 seconds later) Internet  192.168.1.50            0   0050.7966.2222  ARPA   Vlan10 | show mac address-table: SW1# sh...
